ISBN	Titulo	 Autor	 Categoria	 Ano
4628-4149-890-2159	Mortal Inquisition	Erick Barros	Drama	1925
4709-8805-4688-1497	Solar Attack	Alexandre Araujo	Drama	1943
7376-3021-3011-4262	Light Alias	Ana Beatriz Silva	Drama	2007
7680-4859-3240-334	Human Frontier	Alana Sales	Drama	1984
8486-224-1938-3	Battle Retribution	Emanuella Pires	Drama	1936
6057-1647-5018-2303	Killing Fear	Carolina Viana	Drama	1916
9172-1068-3301-6616	Solar Abyss	Nicolas da Rosa	Drama	1985
959-3108-9830-2108	Cosmic Aftermath	Lais Lima	Drama	1912
7334-143-2572-2547	Just Heart	Lara Souza	Drama	1921
3801-4868-7920-2021	Killing Breed	Sabrina Souza	Drama	1991
5407-4864-7684-8859	Rescue of Retribution	Ana Clara Costa	Drama	2015
1249-5950-5556-101	Demolish of War	Elisa Silva	Drama	2016
972-8833-2197-7544	Run of Friction	Ana Julia Caldeira	Drama	2007
6876-4286-5800-5105	Resist of Lies	Caua Cardoso	Drama	1967
5302-1129-430-6638	Plan of Violation	Julia Barbosa	Drama	1951
126-4642-3814-8357	Shoot of Combat	Ana Julia Santos	Drama	1922
3581-9999-7138-1059	Infect of Assault	Yasmin das Neves	Drama	1951
4522-1764-8763-3163	Escape of Betrayal	Marcelo Carvalho	Drama	1993
6926-1946-7156-180	Strife of Atonement	Caroline Fogaca	Drama	2007
3616-4991-4517-1996	Shoot of Friction	Gabrielly da Luz	Drama	1969
541-5325-881-1466	Land and Flashbacks	Luiz Gustavo Dias	Drama	1975
9194-3177-4554-7739	Codename and Echoes	Melissa da Rocha	Drama	2011
1547-7351-8288-2630	Maze and Guns	Maria Alice Jesus	Drama	1917
5856-266-2021-1162	Chronicle and Journey	Thales Aragao	Drama	1977
8785-7132-6924-9514	Life and Danger	Leandro Ribeiro	Drama	1987
6271-3834-4424-8136	Graves and Streets	Helena da Mata	Drama	1937
6934-3189-4432-1357	Echoes and Codename	Bernardo Barbosa	Drama	2006
3317-2644-8267-6290	Chase and Genocide	Andre Almeida	Drama	1988
9306-8093-2650-5671	Embers and Day	Eloah Alves	Drama	2009
7681-5719-8922-7714	Planet and Escalation	Lucca Martins	Drama	1977
4148-266-7390-8695	Despair and Explosions	Fernanda Lima	Drama	1955
6665-2820-190-8446	Skeletons and Reckoning	Ana Sophia Gomes	Drama	1918
5139-7421-7234-714	Werewolves and Struggle	Breno Melo	Drama	1954
8607-4618-1966-1151	Existence and Logic	Ana Julia Cunha	Drama	2017
9475-5314-5495-5567	Hope and Frenzy	Noah da Luz	Drama	2003
9880-2548-7840-8704	Disorder and Pain	Pedro Henrique Novaes	Drama	1934
1657-1942-3548-4585	Earth and Dust	Catarina Rezende	Drama	1989
3546-7016-7992-9175	Valor and Shadows	Joao Lucas da Cunha	Drama	1980
6703-6270-8295-5128	Disorder and Androids	Alexandre Rocha	Drama	1989
2773-2274-2643-9269	Reason and Awe	Pedro Henrique Lima	Drama	1976
665-3849-2851-6019	Crystalspace	Davi Lucas Castro	Drama	1934
6881-1346-3617-7457	Grimwind	Emanuelly da Cruz	Drama	1964
8073-3151-444-2671	Battlespace	Helena Lopes	Drama	1953
9301-8736-929-6653	Alterstar	Alana Correia	Drama	1923
3348-7863-8097-9198	Blueblast	Lorena Cardoso	Drama	1967
3699-2866-5096-3150	Fuseplan	Luiz Otavio Castro	Drama	1914
3412-3099-7468-3529	Grimborne	Davi Lucas da Mata	Drama	1979
9704-516-2498-9606	Borderblaze	Joao Teixeira	Drama	1971
4474-2139-9342-2601	Alterchase	Kamilly Duarte	Drama	1960
4475-5086-4320-9240	Bladeshot	Emanuella Barbosa	Drama	1913
9487-650-9568-8445	Enemy Calamity	Maysa Ferreira	Fantasia	1917
9295-9489-7289-7986	Celestial Virus	Maria Fernanda da Costa	Fantasia	1939
101-3352-439-2421	Storm Assault	Alicia Freitas	Fantasia	1930
1500-5896-7587-6836	Solar Breakout	Luana Farias	Fantasia	1996
6828-9487-9442-4066	Forgotten Call	Rafael Correia	Fantasia	1983
1555-2379-5261-1307	Tactical Alliance	Manuela da Luz	Fantasia	1986
4043-3541-4312-6041	Special Warfare	Caue Farias	Fantasia	1975
4584-2409-2490-7650	Fury Reaver	Joao Lucas Peixoto	Fantasia	1920
2604-1242-331-5931	Parasite Operation	Joao Freitas	Fantasia	1987
7092-2871-2361-2697	Ghost Mask	Lara Melo	Fantasia	2006
4050-2562-6839-2981	Besiege of Treachery	Renan Peixoto	Fantasia	1979
2940-4015-3468-8994	Run of Privilige	Raquel Azevedo	Fantasia	2018
6683-2487-428-2643	Battle of Betrayal	Marcela Rodrigues	Fantasia	1963
7363-5059-7489-7334	Burn of Rule	Joao Guilherme Fernandes	Fantasia	1961
876-495-5076-3172	Attack of Logic	Marcos Vinicius Azevedo	Fantasia	1917
975-6267-842-6353	Rule of Logic	Cecilia da Cruz	Fantasia	1993
1135-683-9607-932	Incinerate of Privilige	Luna Silveira	Fantasia	2004
848-1372-4296-6046	Strike of Order	Fernanda Pinto	Fantasia	1969
9009-3666-1445-5644	Wipe Out of Rivalry	Vitor Hugo Oliveira	Fantasia	1979
8486-4539-4054-7881	Pillage of Logic	Joana Rezende	Fantasia	1922
9463-5241-9341-8476	Streets and Garden	Ana Clara Mendes	Fantasia	1929
8564-220-7755-1696	Chronicle and Voyage	Mariana Costela	Fantasia	1956
6258-8064-8075-324	Matter and Day	Eloah Alves	Fantasia	1940
5754-4515-789-2368	Invasion and Nature	Julia da Mota	Fantasia	1956
802-3594-7949-793	Planet and Chronicle	 Natalia Viana	Fantasia	1992
9267-7192-2128-7182	Chronicle and Law	Marcela Carvalho	Fantasia	1995
4844-3610-6875-7353	Raid and Weapons	Anthony Pires	Fantasia	1950
570-1380-4781-8809	Raid and Fortress	Leandro Novaes	Fantasia	1965
3017-3899-828-1317	Revenge and Empire	Kevin Nascimento	Fantasia	1997
3667-8341-2053-5377	Chamber and Whispers	Pedro Henrique da Paz	Fantasia	1990
6870-7896-4772-5084	Solitude and Salvation	Gabriel Costela	Fantasia	1931
2657-5183-1475-4935	Conflict and Shadows	Davi Lucca Dias	Fantasia	1960
5920-1086-5340-4684	Zombies and Reason	Amanda Goncalves	Fantasia	2020
1052-5418-9155-4096	Power and Gods	Emanuel Barros	Fantasia	1937
7674-1050-8084-3421	Souls and Order	Anthony Alves	Fantasia	1946
8244-9631-1100-3400	Struggle and Mystery	Gabrielly Mendes	Fantasia	1984
2720-4090-4511-6769	Control and Armor	Marcelo da Luz	Fantasia	2002
5411-7728-6936-3459	Stealth and Werewolves	Ana Julia Nogueira	Fantasia	1968
5650-808-2556-8202	Dread and Heroes	Maria Fernanda das Neves	Fantasia	1997
9687-6224-6807-8830	Insanity and Dust	Maria Fernanda Rezende	Fantasia	2021
9602-7368-8471-6048	Warside	 Gustavo Henrique da Mota	Fantasia	1987
6694-6826-8708-4458	Crossbot	Luna Moreira	Fantasia	2013
195-8318-558-6213	Dragonpoint	 Daniel das Neves	Fantasia	1959
7789-8258-8411-1496	Bladeflight	Yasmin da Cruz	Fantasia	1934
5234-4068-7676-9113	Bluefire	 Joao Gabriel Dias	Fantasia	1947
6559-2951-9679-3090	Backborne	Ana Julia Porto	Fantasia	1942
428-6053-2333-3014	Clusterplan	 Sarah Cardoso	Fantasia	2011
7112-7116-4791-9306	Bladehunt	Isabel Costa	Fantasia	1982
3848-9067-8989-4150	Emberforce	Bianca Duarte	Fantasia	2016
8044-4057-4206-3196	Clusterphobia	Joao Vitor Costela	Fantasia	1947
2125-2496-4932-8804	Storm Voyage	Julia Almeida	Infantil	1997
4393-817-9129-6735	Cursed Ego	Pedro Lucas Araujo	Infantil	1987
3785-7569-2683-6219	Future Cavern	Francisco da Cruz	Infantil	1974
1824-5905-4461-3791	Private Resurrection	Nathan Peixoto	Infantil	1979
6905-3055-9245-6726	Battle Realm	Maria Alice Caldeira	Infantil	1932
1275-1661-5898-5614	Ghost Road	Alexandre da Cruz	Infantil	1919
2836-7242-8865-1912	Bad Universe	Vicente Gomes	Infantil	1919
8380-7515-8380-7731	Spirit Cavern	Julia Fernandes	Infantil	1987
610-7317-1193-1348	Storm Armada	Gabriela Almeida	Infantil	1961
8404-3082-1671-289	Angel Evolution	Ana Julia Nogueira	Infantil	2001
6972-6689-9822-704	Divide of Combat	Valentina Moraes	Infantil	1987
1463-4275-9600-7505	Vengeance of Logic	Luiz Otavio Moreira	Infantil	1930
4300-5688-1686-6520	Crash of Campaigns	Nicole Duarte	Infantil	1945
3940-790-183-7210	Escape of Vengeance	Sarah Melo	Infantil	2018
4897-8001-1889-4592	Strife of Immunity	Barbara da Paz	Infantil	1976
2801-9954-4657-2516	Strike of Reason	Francisco Ferreira	Infantil	1945
4347-549-875-8438	Struggle of War	Cecilia Pereira	Infantil	1934
5104-9906-2824-7374	Run of Transgression	Stella Rodrigues	Infantil	1950
6667-9663-3237-6748	Protect of Trickery	Leandro Lima	Infantil	1954
8701-2759-3127-5585	Bombard of Enforce	Thiago Correia	Infantil	1983
5197-2335-5041-4387	Home and Sons	Ana Luiza Costa	Infantil	1984
6063-732-1913-8037	Crime and Descent	Lais da Luz	Infantil	1943
4118-714-2900-9747	Garden and Source	Giovanna Ribeiro	Infantil	2013
2104-2649-6601-7017	Words and Source	Gabriela da Luz	Infantil	1919
4075-4521-7238-7542	Embers and Impact	 Eduarda Mendes	Infantil	1958
5938-4232-9188-187	Dream and Empire	Lucas Gabriel Novaes	Infantil	2020
4496-8980-133-5439	Burial and Treasures	Diogo Peixoto	Infantil	2013
5558-570-3408-1527	Words and Impact	Agatha Farias	Infantil	1916
1510-2636-1286-3243	Revenge and Fortress	Antonio Correia	Infantil	1990
6471-7921-5263-9972	Knights and Codename	Rodrigo da Rocha	Infantil	1959
8527-2447-2488-178	Barbarians and Nature	Catarina Azevedo	Infantil	1929
3524-749-8371-1253	Skulls and Misery	Juliana Castro	Infantil	1947
7060-2257-3880-4515	Honor and Resistance	Maria Sophia Sales	Infantil	1944
